sasdate_t,sasdate_tp1,hard_label_t,pca_p_components,typical_k_r,p_R0_t,ptp1_R0,p_R1_t,ptp1_R1,p_R2_t,ptp1_R2,p_R3_t,ptp1_R3,p_R4_t,ptp1_R4,p_R5_t,ptp1_R5
2018-06-01,2018-07-01,0,31,5,0.20872565039990254,0.12143553579554506,0.1480995518886071,0.17054810110078963,0.16093574113617787,0.31866837196832953,0.1625409258097443,0.029261043842941432,0.15295131471298742,0.09936787014045777,0.16674681605258082,0.07606359394305331
2018-07-01,2018-08-01,0,31,5,0.1997189263987226,0.14477856411158588,0.16319110263226166,0.0856525181145747,0.15232969098119328,0.14514185827522097,0.16654657107300538,0.13746230512563218,0.15711204480958235,0.202412106252011,0.16110166410523463,0.11122718988368716
2018-08-01,2018-09-01,0,31,5,0.20361923921236946,0.08810937009606354,0.15650306844376863,0.23733799263923663,0.16238286637027105,0.08770382381976519,0.15659093048603914,0.09140571898716465,0.1618147115799215,0.05937457156899997,0.15908918390763022,0.13247295839653844
2018-09-01,2018-10-01,0,31,5,0.20925890596076313,0.1683652776171466,0.16454002140509033,0.043708408139734756,0.15928881920908372,0.15114064904327057,0.1552000455659602,0.12534273066001422,0.1517680841649494,0.09422110227442329,0.1599441236941533,0.1749419032844809
2018-10-01,2018-11-01,0,31,5,0.20392958003534006,0.1795286105493087,0.16328972975675626,0.16356564320517375,0.16795854173804847,0.09158508007072959,0.14904430949770778,0.15700125853386862,0.15016348735010993,0.14266264774108053,0.16561435162203736,0.07649556187621254
2018-11-01,2018-12-01,0,31,5,0.18725078433810294,0.09203823735665226,0.16500267914994138,0.2533536519221799,0.16643151736860776,0.02700379010682978,0.16293868541105275,0.1049259365339444,0.170968904158956,0.15808784849019378,0.14740742957333927,0.1651154039072703
2018-12-01,2019-01-01,0,31,5,0.18022373306630188,0.1893629813801403,0.15690693219498586,0.05566904678648203,0.16480437490830346,0.16995936649095986,0.16816220195827966,0.11394286703481837,0.16537694214497403,0.060026223523151616,0.16452581572715516,0.23132009439139087
2019-01-01,2019-02-01,5,31,5,0.18047135882872645,0.06785279943757702,0.1550915854759414,0.20099444764496852,0.16079381723723618,0.09005861881840624,0.16520487076088095,0.11728425444242317,0.1525742142055941,0.16059302180520696,0.18586415349162105,0.1651350779294414
2019-02-01,2019-03-01,0,31,5,0.19729270446500086,0.38393450140267826,0.15236556980439386,0.0626554842057411,0.16562843505095637,0.07073774385418938,0.16290316721999853,0.06179671566698975,0.1657512080191231,0.11132617064082459,0.15605891544052722,0.13937507893904352
2019-03-01,2019-04-01,0,31,5,0.17956137353473717,0.1875547206346559,0.16692932726366097,0.13180715262540932,0.1644044081782506,0.1676053115981885,0.1735850380678108,0.16813617882025841,0.15997566472370486,0.11591777240228282,0.15554418823183558,0.09653380120866545
2019-04-01,2019-05-01,2,31,5,0.18220965774135925,0.33453474173136233,0.16135465552064573,0.06482229574558906,0.18735069696538473,0.060911448561573954,0.15879349541993032,0.1460620341281954,0.1495839259159517,0.13524574512095539,0.16070756843672815,0.048987731293607166
2019-05-01,2019-06-01,4,31,5,0.16914072238599281,0.3718779974482576,0.1571745157484452,0.1226690637317708,0.16547741780867978,0.06865558602497197,0.15604436445010084,0.08186556911997984,0.18688518064750786,0.15175799283979624,0.16527779895927341,0.13538117161654686
2019-06-01,2019-07-01,4,31,5,0.18171618515546922,0.5217683674194995,0.1488850284916848,0.12363261628749492,0.16514102922740256,0.025959455022209886,0.1484182792471283,0.0974087140824541,0.19014267254287223,0.03801840401507029,0.16569680533544293,0.06498656448060294
2019-07-01,2019-08-01,0,31,5,0.1989040053402594,0.3745142960447344,0.15474240456540536,0.0614271155985975,0.15241091168965426,0.13802562733392731,0.16917521387716353,0.0916973184099788,0.16521693716014646,0.13835976488464313,0.15955052736737094,0.04987484122302741
2019-08-01,2019-09-01,0,31,5,0.1783621057841064,0.3711747248666183,0.16289145257964366,0.10228106547181566,0.17196352429212183,0.2144639572883726,0.16345010853060354,0.04221042549804542,0.16888970978681003,0.08574299655524437,0.15444309902671452,0.0697113317142828
2019-09-01,2019-10-01,2,31,5,0.17728909013349106,0.4467740472215611,0.15682776927709016,0.06070425617579165,0.1947284137358737,0.10507015511818343,0.15802354887339048,0.185926257818131,0.16165254908559404,0.026593363520023658,0.15147862889456062,0.0847414497631559
2019-10-01,2019-11-01,0,31,5,0.1893130939524787,0.4194461941598141,0.1626055723407949,0.12316939161626644,0.1568397661157935,0.19886631350211223,0.16937391552791153,0.09713761030253025,0.1620129939947753,0.038920923481113624,0.1598546580682462,0.026031781313736187
2019-11-01,2019-12-01,0,31,5,0.1888924780570783,0.0680495096871311,0.1587074262949424,0.11840711855452422,0.16398875903358487,0.19961805653732842,0.16247232823657934,0.11756639913664613,0.1675052574705154,0.17330186185806917,0.1584337509072997,0.07546427374469594
2019-12-01,2020-01-01,0,30,5,0.21337628584872712,0.05624360544067115,0.1664704112293275,0.06878673728730679,0.1460936304496908,0.10063457483585464,0.16346355466135493,0.15069033281822566,0.15728774306874,0.21346526730153426,0.15330837474215972,0.11164504415417713
